Name,Pos,Total,Url
Drake,1,"9,243,451,212",artist/3TVXtAsR1Inumwj472S9r4.html
Justin Bieber,2,"7,838,243,056",artist/1uNFoZAHBGtllmzznpCI3s.html
Ed Sheeran,3,"6,395,857,885",artist/6eUKZXaKkcviH0Ku9w2n3V.html
The Weeknd,4,"4,838,213,029",artist/1Xyo4u8uXC1ZmMpatF05PJ.html
The Chainsmokers,5,"4,263,588,855",artist/69GGBxA162lTqCwzJG5jLp.html
Rihanna,6,"4,179,956,207",artist/5pKCCKE2ajJHZ9KAiaK11H.html
Calvin Harris,7,"3,644,430,328",artist/7CajNmpbOovFoOoasH2HaY.html
Ariana Grande,8,"2,995,269,309",artist/66CXWjxzNUsdJxJ2JdwvnR.html
Major Lazer,9,"2,971,971,042",artist/738wLrAtLtCtFOLvQBXOXp.html
Daddy Yankee,10,"2,878,441,101",artist/4VMYDCV2IEDYJArk749S6m.html
Kendrick Lamar,11,"2,827,934,381",artist/2YZyLoL8N0Wb9xBt1NhZWg.html
Selena Gomez,12,"2,743,243,955",artist/0C8ZW7ezQVs4URX5aX7Kqx.html
Sia,13,"2,702,403,252",artist/5WUlDfRSoLAfcVSX1WnrxN.html
Nicki Minaj,14,"2,658,309,055",artist/0hCNtLu0JehylgoiP8L4Gh.html
Future,15,"2,542,106,440",artist/1RyvyyTE3xzB2ZywiAwp0i.html
J Balvin,16,"2,490,422,175",artist/1vyhD5VmyZ7KMfW5gqLgo5.html
DJ Snake,17,"2,482,493,361",artist/540vIaP2JwjQb9dm3aArA4.html
Coldplay,18,"2,461,312,377",artist/4gzpq5DPGxSnKTe4SA8HAU.html
Imagine Dragons,19,"2,388,662,181",artist/53XhwfbYqKCa1cC15pYq2q.html
Shawn Mendes,20,"2,339,209,364",artist/7n2wHs1TKAczGzO7Dd2rGr.html
Kygo,21,"2,256,963,613",artist/23fqKkggKUBHNkbKtXEls4.html
MØ,22,"2,246,191,577",artist/0bdfiayQAKewqEvaU6rXCv.html
Zara Larsson,23,"2,216,562,769",artist/1Xylc3o4UrD53lo9CvFvVg.html
Bruno Mars,24,"2,131,494,980",artist/0du5cEVh5yTK9QJze8zA0C.html
Maluma,25,"2,126,698,674",artist/1r4hJ1h58CWwUQe3MxPuau.html
David Guetta,26,"2,095,466,972",artist/1Cs0zKBU1kc0i8ypK3B9ai.html
Twenty One Pilots,27,"2,052,981,182",artist/3YQKmKGau1PzlVlkL1iodx.html
Charlie Puth,28,"1,982,444,951",artist/6VuMaDnrHyPL1p4EHjYLi7.html
Maroon 5,29,"1,944,327,464",artist/04gDigrS5kc9YWfZHwBETP.html
Bebe Rexha,30,"1,924,074,092",artist/64M6ah0SkkRsnPGtGiRAbb.html
Ty Dolla $ign,31,"1,911,628,737",artist/7c0XG5cIJTrrAgEC3ULPiq.html
Quavo,32,"1,911,494,433",artist/0VRj0yCOv2FXJNP47XQnx5.html
Fetty Wap,33,"1,773,040,523",artist/6PXS4YHDkKvl1wkIl4V8DL.html
Sam Smith,34,"1,768,308,807",artist/2wY79sveU1sp5g7SokKOiI.html
Avicii,35,"1,742,766,376",artist/1vCWHaC5f2uS3yhpwWbIA6.html
Jason Derulo,36,"1,732,085,256",artist/07YZf4WDAMNwqr4jfgOZ8y.html
Alessia Cara,37,"1,701,000,041",artist/2wUjUUtkb5lvLKcGKsKqsR.html
