,Country,Happiness score,Whisker-high,Whisker-low,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia (1.85) + residual,Explained constant
0,Norway,7.5370001792907715,7.594444820582867,7.479555537998676,1.6164631843566895,1.5335235595703125,0.7966665029525757,0.6354225873947144,0.36201223731040955,0.31596383452415466,2.277026653289795,1
1,Denmark,7.521999835968018,7.5817280648648735,7.462271607071162,1.4823830127716064,1.5511215925216675,0.7925655245780945,0.6260067224502563,0.35528048872947693,0.40077006816864014,2.3137073516845703,1
2,Iceland,7.504000186920166,7.622030473053456,7.385969900786876,1.480633020401001,1.6105740070343018,0.8335521221160889,0.6271626353263855,0.4755402207374573,0.15352655947208405,2.3227152824401855,1
3,Switzerland,7.49399995803833,7.561772420406341,7.426227495670319,1.5649795532226562,1.5169117450714111,0.8581312894821167,0.6200705766677856,0.29054927825927734,0.3670072853565216,2.2767162322998047,1
4,Finland,7.468999862670898,7.527542075812817,7.41045764952898,1.443571925163269,1.5402467250823975,0.80915766954422,0.6179508566856384,0.24548277258872986,0.38261154294013977,2.4301815032958984,1
5,Netherlands,7.376999855041504,7.427425841242075,7.326573868840933,1.5039446353912354,1.4289392232894897,0.8106961250305176,0.5853844881057739,0.47048982977867126,0.2826618254184723,2.294804096221924,1
6,Canada,7.315999984741211,7.3844028353691105,7.247597134113311,1.4792044162750244,1.481348991394043,0.8345576524734497,0.6111009120941162,0.43553972244262695,0.28737151622772217,2.1872644424438477,1
7,New Zealand,7.314000129699707,7.379510441869497,7.248489817529917,1.4057060480117798,1.5481951236724854,0.8167597055435181,0.6140621304512024,0.5000051259994507,0.38281670212745667,2.0464563369750977,1
8,Sweden,7.283999919891357,7.344094877392053,7.2239049623906615,1.4943872690200806,1.478162169456482,0.8308751583099365,0.6129240989685059,0.3853992521762848,0.3843987286090851,2.0975379943847656,1
9,Australia,7.283999919891357,7.356651224941015,7.211348614841699,1.4844149351119995,1.5100419521331787,0.8438867926597595,0.6016073822975159,0.47769924998283386,0.3011837303638458,2.0652108192443848,1
10,Israel,7.2129998207092285,7.279853256493807,7.14614638492465,1.375382423400879,1.376289963722229,0.8384039998054504,0.4059886038303375,0.33008265495300293,0.08524210005998611,2.801757335662842,1
11,Costa Rica,7.078999996185303,7.168111666291952,6.9898883260786535,1.1097062826156616,1.4164036512374878,0.759509265422821,0.5801316499710083,0.21461322903633118,0.10010658949613571,2.89863920211792,1
12,Austria,7.00600004196167,7.070669812113047,6.941330271810293,1.4870972633361816,1.4599449634552002,0.8153284192085266,0.5677661895751953,0.3164723217487335,0.2210603654384613,2.1385064125061035,1
